Results Simulation,Result,Frequency,
20,15,1,0.001
19,16,1,0.001
19,17,22,0.022
23,18,55,0.055
23,19,132,0.132
24,20,222,0.222
21,21,244,0.244
20,22,173,0.173
18,23,102,0.102
19,24,40,0.04
21,25,7,0.007
19,26,1,0.001
20,,,
19,,,
21,,,
21,,,
21,,,
21,,,
18,,,
19,,,
18,,,
22,,,
20,,,
18,,,
16,,,
20,,,
21,,,
20,,,
22,,,
19,,,
20,,,
22,,,
18,,,
20,,,
17,,,
19,,,
19,,,
18,,,
18,,,
18,,,
18,,,
20,,,
20,,,
21,,,
18,,,
18,,,
22,,,
19,,,
19,,,
17,,,
20,,,
21,,,
17,,,
20,,,
21,,,
19,,,
21,,,
21,,,
21,,,
17,,,
21,,,
17,,,
19,,,
21,,,
19,,,
21,,,
19,,,
21,,,
24,,,
22,,,
21,,,
19,,,
21,,,
19,,,
22,,,
17,,,
20,,,
19,,,
17,,,
19,,,
18,,,
19,,,
20,,,
19,,,
19,,,
20,,,
18,,,
19,,,
14,,,
21,,,
19,,,
17,,,
20,,,
19,,,
19,,,
19,,,
18,,,
19,,,
21,,,
19,,,
20,,,
23,,,
17,,,
19,,,
22,,,
19,,,
19,,,
18,,,
20,,,
21,,,
22,,,
19,,,
20,,,
19,,,
18,,,
19,,,
21,,,
18,,,
20,,,
21,,,
18,,,
19,,,
21,,,
18,,,
21,,,
22,,,
19,,,
18,,,
18,,,
21,,,
20,,,
21,,,
20,,,
22,,,
22,,,
18,,,
21,,,
19,,,
22,,,
21,,,
22,,,
21,,,
21,,,
17,,,
20,,,
20,,,
22,,,
22,,,
21,,,
19,,,
20,,,
20,,,
20,,,
21,,,
17,,,
20,,,
20,,,
18,,,
22,,,
21,,,
20,,,
18,,,
23,,,
20,,,
18,,,
20,,,
20,,,
20,,,
18,,,
19,,,
22,,,
22,,,
21,,,
20,,,
20,,,
17,,,
21,,,
20,,,
21,,,
21,,,
20,,,
20,,,
16,,,
19,,,
20,,,
18,,,
19,,,
19,,,
18,,,
20,,,
18,,,
18,,,
19,,,
20,,,
23,,,
19,,,
19,,,
20,,,
20,,,
19,,,
18,,,
21,,,
22,,,
18,,,
23,,,
23,,,
21,,,
16,,,
21,,,
20,,,
23,,,
19,,,
20,,,
22,,,
21,,,
20,,,
21,,,
19,,,
19,,,
19,,,
21,,,
20,,,
18,,,
17,,,
19,,,
20,,,
20,,,
22,,,
21,,,
19,,,
21,,,
20,,,
22,,,
20,,,
22,,,
22,,,
21,,,
17,,,
19,,,
19,,,
20,,,
18,,,
22,,,
23,,,
20,,,
18,,,
21,,,
21,,,
17,,,
18,,,
19,,,
21,,,
19,,,
19,,,
20,,,
19,,,
21,,,
18,,,
16,,,
22,,,
20,,,
23,,,
18,,,
17,,,
22,,,
17,,,
18,,,
22,,,
24,,,
19,,,
18,,,
20,,,
19,,,
19,,,
21,,,
20,,,
18,,,
18,,,
19,,,
22,,,
18,,,
20,,,
23,,,
21,,,
17,,,
22,,,
21,,,
21,,,
20,,,
20,,,
22,,,
21,,,
21,,,
20,,,
19,,,
18,,,
16,,,
20,,,
23,,,
21,,,
20,,,
21,,,
20,,,
21,,,
21,,,
19,,,
18,,,
20,,,
18,,,
19,,,
20,,,
20,,,
21,,,
20,,,
21,,,
18,,,
21,,,
17,,,
18,,,
19,,,
22,,,
19,,,
21,,,
20,,,
21,,,
22,,,
20,,,
18,,,
20,,,
19,,,
17,,,
21,,,
18,,,
18,,,
22,,,
22,,,
20,,,
20,,,
19,,,
18,,,
17,,,
17,,,
18,,,
20,,,
19,,,
19,,,
19,,,
18,,,
19,,,
20,,,
19,,,
17,,,
19,,,
20,,,
21,,,
19,,,
21,,,
20,,,
20,,,
16,,,
22,,,
20,,,
22,,,
17,,,
20,,,
18,,,
19,,,
22,,,
20,,,
21,,,
19,,,
18,,,
20,,,
19,,,
20,,,
20,,,
21,,,
21,,,
17,,,
19,,,
21,,,
19,,,
18,,,
18,,,
21,,,
19,,,
19,,,
19,,,
22,,,
20,,,
20,,,
20,,,
17,,,
21,,,
20,,,
20,,,
19,,,
20,,,
19,,,
20,,,
17,,,
24,,,
18,,,
20,,,
21,,,
21,,,
19,,,
20,,,
22,,,
21,,,
21,,,
21,,,
23,,,
22,,,
19,,,
18,,,
17,,,
18,,,
19,,,
22,,,
22,,,
20,,,
20,,,
22,,,
19,,,
19,,,
18,,,
18,,,
19,,,
19,,,
20,,,
22,,,
21,,,
18,,,
22,,,
21,,,
20,,,
19,,,
16,,,
24,,,
23,,,
18,,,
20,,,
19,,,
19,,,
21,,,
19,,,
20,,,
19,,,
16,,,
20,,,
20,,,
20,,,
19,,,
19,,,
20,,,
20,,,
20,,,
20,,,
20,,,
21,,,
22,,,
19,,,
20,,,
20,,,
20,,,
19,,,
20,,,
22,,,
21,,,
19,,,
23,,,
18,,,
18,,,
20,,,
20,,,
21,,,
19,,,
17,,,
20,,,
17,,,
19,,,
20,,,
21,,,
19,,,
21,,,
22,,,
21,,,
20,,,
20,,,
22,,,
18,,,
19,,,
17,,,
16,,,
21,,,
19,,,
22,,,
17,,,
20,,,
20,,,
21,,,
21,,,
21,,,
22,,,
17,,,
20,,,
19,,,
20,,,
17,,,
19,,,
20,,,
18,,,
19,,,
21,,,
20,,,
19,,,
16,,,
19,,,
20,,,
22,,,
19,,,
21,,,
18,,,
19,,,
23,,,
19,,,
18,,,
18,,,
18,,,
18,,,
21,,,
19,,,
21,,,
21,,,
21,,,
20,,,
21,,,
20,,,
21,,,
19,,,
20,,,
18,,,
21,,,
20,,,
21,,,
19,,,
18,,,
18,,,
23,,,
18,,,
19,,,
19,,,
22,,,
19,,,
21,,,
20,,,
17,,,
22,,,
17,,,
19,,,
20,,,
22,,,
20,,,
18,,,
20,,,
25,,,
21,,,
19,,,
22,,,
17,,,
20,,,
21,,,
20,,,
18,,,
18,,,
20,,,
19,,,
20,,,
20,,,
20,,,
21,,,
21,,,
20,,,
20,,,
20,,,
17,,,
23,,,
20,,,
20,,,
23,,,
20,,,
19,,,
23,,,
22,,,
19,,,
21,,,
19,,,
21,,,
19,,,
19,,,
22,,,
20,,,
19,,,
22,,,
19,,,
21,,,
19,,,
21,,,
19,,,
20,,,
22,,,
18,,,
19,,,
19,,,
21,,,
19,,,
21,,,
18,,,
19,,,
21,,,
18,,,
19,,,
17,,,
18,,,
18,,,
19,,,
19,,,
20,,,
18,,,
19,,,
23,,,
19,,,
18,,,
22,,,
23,,,
22,,,
21,,,
21,,,
20,,,
22,,,
20,,,
21,,,
22,,,
19,,,
19,,,
21,,,
16,,,
20,,,
19,,,
19,,,
20,,,
21,,,
22,,,
19,,,
22,,,
18,,,
21,,,
21,,,
23,,,
18,,,
20,,,
20,,,
19,,,
18,,,
18,,,
22,,,
21,,,
20,,,
20,,,
24,,,
20,,,
19,,,
19,,,
18,,,
19,,,
17,,,
19,,,
18,,,
22,,,
18,,,
18,,,
18,,,
19,,,
21,,,
20,,,
22,,,
21,,,
20,,,
19,,,
22,,,
20,,,
19,,,
21,,,
21,,,
20,,,
22,,,
18,,,
18,,,
18,,,
21,,,
23,,,
18,,,
16,,,
20,,,
23,,,
20,,,
20,,,
21,,,
19,,,
19,,,
20,,,
20,,,
19,,,
20,,,
22,,,
16,,,
22,,,
18,,,
16,,,
20,,,
20,,,
20,,,
19,,,
20,,,
21,,,
19,,,
20,,,
20,,,
19,,,
20,,,
19,,,
20,,,
20,,,
21,,,
20,,,
20,,,
20,,,
21,,,
23,,,
21,,,
21,,,
23,,,
18,,,
20,,,
22,,,
20,,,
18,,,
21,,,
19,,,
21,,,
21,,,
19,,,
18,,,
20,,,
18,,,
20,,,
20,,,
19,,,
20,,,
19,,,
18,,,
22,,,
20,,,
22,,,
20,,,
17,,,
22,,,
23,,,
19,,,
20,,,
23,,,
17,,,
20,,,
20,,,
19,,,
23,,,
20,,,
19,,,
20,,,
19,,,
21,,,
19,,,
19,,,
21,,,
22,,,
17,,,
21,,,
22,,,
20,,,
20,,,
20,,,
22,,,
19,,,
19,,,
16,,,
19,,,
22,,,
22,,,
19,,,
23,,,
20,,,
21,,,
23,,,
22,,,
20,,,
19,,,
20,,,
20,,,
22,,,
19,,,
18,,,
21,,,
18,,,
20,,,
20,,,
17,,,
21,,,
17,,,
18,,,
21,,,
21,,,
18,,,
19,,,
22,,,
17,,,
19,,,
21,,,
18,,,
19,,,
18,,,
21,,,
23,,,
18,,,
21,,,
19,,,
20,,,
21,,,
21,,,
20,,,
23,,,
21,,,
16,,,
21,,,
19,,,
22,,,
16,,,
21,,,
19,,,
19,,,
20,,,
19,,,
19,,,
22,,,
21,,,
18,,,
18,,,
22,,,
20,,,
18,,,
20,,,
20,,,
18,,,
24,,,
20,,,
17,,,
19,,,
19,,,
19,,,
20,,,
19,,,
17,,,
18,,,
19,,,
18,,,
20,,,
21,,,
21,,,
16,,,
18,,,
20,,,
15,,,
20,,,
17,,,
20,,,
21,,,
21,,,
20,,,
21,,,
19,,,
21,,,
19,,,
23,,,
19,,,
19,,,
22,,,
22,,,
20,,,
21,,,
19,,,
18,,,
16,,,
23,,,
20,,,
22,,,
20,,,
20,,,
19,,,
19,,,
17,,,
18,,,
16,,,
19,,,
20,,,
19,,,
21,,,
20,,,
22,,,
20,,,
21,,,
19,,,
19,,,
20,,,
20,,,
21,,,
17,,,
20,,,
20,,,
19,,,
17,,,
17,,,
20,,,
21,,,
21,,,
19,,,
20,,,
22,,,
20,,,
23,,,
19,,,
23,,,
23,,,
23,,,
18,,,
20,,,
22,,,
21,,,
18,,,
18,,,
19,,,
20,,,
20,,,
21,,,
21,,,
19,,,
18,,,
19,,,
20,,,
20,,,
21,,,
22,,,
22,,,
19,,,
19,,,
20,,,
20,,,
19,,,
19,,,
22,,,
20,,,
20,,,
21,,,
20,,,
20,,,
18,,,
19,,,
22,,,
19,,,
18,,,
17,,,
19,,,
19,,,
19,,,
22,,,
18,,,
20,,,
22,,,
17,,,
20,,,
20,,,
18,,,
19,,,
18,,,
19,,,
20,,,
16,,,
20,,,
21,,,
16,,,
